Customer_Id,Name,Age,City,Job,Marital_Status
1,Customer_1,56,Cairo,engineer,Single
2,Customer_2,69,Cairo,doctor,Single
3,Customer_3,46,Alexandria,unemployed,
4,Customer_4,32,Cairo,developer,Divorced
5,Customer_5,60,Alexandria,teacher,Married
6,Customer_6,25,Giza,developer,Married
7,Customer_7,38,Alexandria,banker,Single
8,Customer_8,56,Cairo,unemployed,
9,Customer_9,36,Cairo,developer,Married
10,Customer_10,40,Mansoura,banker,Married
11,Customer_11,28,Alexandria,banker,Divorced
12,Customer_12,28,Cairo,teacher,Single
13,Customer_13,41,Giza,teacher,Divorced
14,Customer_14,53,Asyut,banker,Single
15,Customer_15,57,Alexandria,engineer,Married
16,Customer_16,41,Alexandria,developer,Divorced
17,Customer_17,20,Alexandria,banker,Divorced
18,Customer_18,39,Alexandria,banker,Divorced
19,Customer_19,19,Cairo,teacher,Married
20,Customer_20,41,Mansoura,developer,Married
21,Customer_21,61,Alexandria,doctor,Single
22,Customer_22,47,Asyut,unemployed,Divorced
23,Customer_23,55,Asyut,teacher,Married
24,Customer_24,19,Mansoura,developer,
25,Customer_25,38,Cairo,developer,Married
26,Customer_26,50,Cairo,unemployed,Married
27,Customer_27,29,Alexandria,engineer,
28,Customer_28,39,Alexandria,unemployed,Married
29,Customer_29,61,Cairo,teacher,Single
30,Customer_30,42,Giza,teacher,Married
31,Customer_31,66,Mansoura,doctor,Married
32,Customer_32,44,Alexandria,unemployed,Single
33,Customer_33,59,Cairo,unemployed,Married
34,Customer_34,45,Alexandria,engineer,Single
35,Customer_35,33,Cairo,unemployed,Single
36,Customer_36,32,Cairo,engineer,
37,Customer_37,64,Mansoura,developer,Married
38,Customer_38,68,Alexandria,developer,
39,Customer_39,61,Cairo,teacher,Married
40,Customer_40,69,Asyut,doctor,Single
41,Customer_41,20,Alexandria,teacher,Single
42,Customer_42,54,Giza,unemployed,Single
43,Customer_43,68,Cairo,banker,Married
44,Customer_44,24,Cairo,developer,Single
45,Customer_45,38,Mansoura,banker,Single
46,Customer_46,26,Giza,unemployed,Single
47,Customer_47,56,Asyut,doctor,Single
48,Customer_48,35,Giza,teacher,Single
49,Customer_49,21,Alexandria,developer,Divorced
50,Customer_50,42,Giza,doctor,Married
51,Customer_51,31,Cairo,teacher,Married
52,Customer_52,67,Cairo,teacher,Married
53,Customer_53,26,Cairo,banker,Married
54,Customer_54,43,Cairo,unemployed,Single
55,Customer_55,19,Alexandria,unemployed,Single
